,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
3205,D,0.5294117647058824,1.0588235294117647,D,L,L,D,W,L,-1.0588235294117647,-0.8235294117647058,-0.17647058823529413,6.0
3206,D,0.8823529411764706,1.1176470588235294,L,L,L,D,D,L,-0.29411764705882354,-0.35294117647058826,-0.11764705882352941,-10.0
3207,A,1.411764705882353,1.588235294117647,D,D,L,L,W,W,0.29411764705882354,-0.35294117647058826,-0.23529411764705882,9.0
3208,A,1.1764705882352942,1.8235294117647058,D,D,W,W,D,W,0.058823529411764705,0.7058823529411765,-0.11764705882352941,3.0
3209,D,2.0588235294117645,1.9411764705882353,L,D,W,W,L,W,0.9411764705882353,0.8235294117647058,-0.11764705882352941,1.0
3210,A,1.0555555555555556,0.7222222222222222,L,L,L,L,L,W,-0.3333333333333333,-0.8888888888888888,-0.16666666666666666,-3.0
3211,A,0.9444444444444444,1.3333333333333333,L,W,L,L,D,D,-0.6666666666666666,0.2222222222222222,0.05555555555555555,4.0
3212,H,1.8888888888888888,1.1111111111111112,D,W,L,L,D,D,0.7777777777777778,0.0,0.1111111111111111,-6.0
3213,A,1.8888888888888888,0.5555555555555556,W,W,D,D,D,L,0.7222222222222222,-1.0,0.2777777777777778,-11.0
3214,A,1.1111111111111112,1.5555555555555556,D,D,D,W,W,L,-0.3333333333333333,0.4444444444444444,-0.16666666666666666,17.0
3215,H,1.9444444444444444,2.0,W,W,D,W,W,W,1.7222222222222223,1.2777777777777777,-0.1111111111111111,-5.0
3216,H,1.6666666666666667,1.1666666666666667,W,D,W,W,D,W,0.1111111111111111,-0.2222222222222222,0.0,3.0
3217,A,1.0555555555555556,0.7222222222222222,D,D,W,L,L,W,-0.7777777777777778,-0.9444444444444444,0.1111111111111111,-1.0
3218,D,1.6666666666666667,0.8888888888888888,W,L,W,D,L,L,-0.2777777777777778,-0.2777777777777778,0.2777777777777778,-3.0
3219,A,0.7777777777777778,2.0,L,D,L,D,L,D,-0.4444444444444444,0.8888888888888888,-0.05555555555555555,6.0
3220,D,1.0,1.0526315789473684,L,L,L,L,L,D,-0.3684210526315789,-0.05263157894736842,-0.05263157894736842,6.0
